uniqid_eco4,NWALT12_11_eco4,NWALT12_12_eco4,NWALT12_21_eco4,NWALT12_22_eco4,NWALT12_23_eco4,NWALT12_24_eco4,NWALT12_25_eco4,NWALT12_26_eco4,NWALT12_27_eco4,NWALT12_31_eco4,NWALT12_32_eco4,NWALT12_33_eco4,NWALT12_41_eco4,NWALT12_43_eco4,NWALT12_44_eco4,NWALT12_45_eco4,NWALT12_46_eco4,NWALT12_50_eco4,NWALT12_60_eco4,NWALT12_9999_eco4
752,0.88,0.24,9.42,20.21,11.10,5.93,44.28,3.88,1.03,2.22,0.07,0.00,0.00,0.04,0.06,0.01,0.02,0.59,0.00,0.00
753,1.15,0.05,2.15,8.69,2.71,3.38,11.36,8.50,3.09,4.83,8.70,0.00,0.13,2.84,1.17,1.24,27.32,12.70,0.00,0.00
754,0.27,0.00,2.75,4.19,1.36,1.24,4.20,8.39,4.12,0.86,3.25,0.01,0.00,40.66,6.77,2.72,13.80,5.42,0.00,0.00
755,0.94,0.41,2.86,5.98,1.75,3.10,8.51,12.57,2.23,7.11,12.18,0.12,0.07,21.44,1.42,0.87,3.46,14.65,0.33,0.00
756,1.34,0.08,1.53,1.95,0.29,1.97,4.28,12.20,1.52,6.82,4.30,0.00,0.00,0.62,0.10,0.19,13.26,49.56,0.00,0.00
757,0.20,0.00,0.08,0.01,0.10,0.02,0.00,0.06,0.35,0.00,0.48,0.00,0.06,0.74,0.08,0.68,11.53,80.16,5.45,0.00
758,0.10,0.00,0.09,0.00,0.00,0.01,0.00,0.00,0.10,0.00,0.00,0.01,0.03,0.17,0.44,0.84,11.79,86.40,0.00,0.00
759,1.04,0.00,0.85,0.29,0.23,0.12,0.30,1.08,0.95,0.38,4.23,0.02,0.17,2.76,12.14,1.11,0.30,74.00,0.05,0.00
760,1.10,0.00,1.26,0.87,0.41,0.38,1.10,3.27,1.02,1.50,9.89,0.05,0.40,3.46,13.01,1.14,0.47,60.67,0.00,0.00
761,1.34,0.01,1.73,1.19,0.71,0.72,1.22,5.39,1.00,3.22,14.85,0.02,0.36,7.31,13.62,0.54,0.23,46.52,0.01,0.00
762,0.81,0.00,0.58,0.25,0.20,0.07,0.18,0.67,0.84,0.01,5.23,0.01,0.04,5.40,11.46,0.97,0.87,71.95,0.45,0.00
763,1.55,0.13,0.78,0.40,0.26,0.24,0.36,1.55,1.17,0.05,4.20,0.02,0.42,14.46,18.54,0.90,0.47,54.45,0.05,0.00
764,0.72,0.00,0.72,0.33,0.18,0.06,0.22,1.20,1.00,0.26,3.52,0.10,0.31,2.57,12.61,0.92,1.12,73.83,0.31,0.00
765,2.17,0.00,0.35,0.08,0.06,0.00,0.01,0.11,0.73,0.00,0.22,0.00,0.16,0.28,5.53,0.14,0.26,87.60,2.28,0.00
766,0.39,0.00,0.61,0.12,0.05,0.05,0.00,0.28,1.14,0.00,2.01,0.01,0.24,0.31,15.15,0.54,1.52,77.53,0.05,0.00
767,1.42,0.06,0.44,0.10,0.07,0.03,0.03,0.28,0.59,0.00,1.92,0.01,0.08,10.52,20.39,1.84,2.17,59.07,0.97,0.00
