uniqid_eco4,NWALT74_12_eco4,NWALT74_21_eco4,NWALT74_22_eco4,NWALT74_23_eco4,NWALT74_24_eco4,NWALT74_25_eco4,NWALT74_26_eco4,NWALT74_27_eco4,NWALT74_31_eco4,NWALT74_32_eco4,NWALT74_33_eco4,NWALT74_41_eco4,NWALT74_43_eco4,NWALT74_44_eco4,NWALT74_45_eco4,NWALT74_46_eco4,NWALT74_50_eco4,NWALT74_60_eco4,NWALT74_9999_eco4
628,0.00,0.13,0.00,0.00,0.01,0.00,0.00,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.04,83.76,15.43,0.00
629,0.00,0.16,0.01,0.00,0.03,0.00,0.01,0.13,0.00,0.06,0.00,0.00,0.00,0.00,0.01,0.43,94.40,4.41,0.00
630,0.04,0.18,0.08,0.02,0.03,0.00,0.18,0.38,0.00,0.59,0.00,0.01,0.25,0.54,1.39,6.15,88.46,1.61,0.00
631,0.30,0.83,0.30,0.07,0.11,0.18,0.48,0.67,0.41,1.14,0.01,0.04,10.45,21.61,0.43,0.20,61.89,0.01,0.00
632,1.06,0.88,0.26,0.03,0.19,0.09,0.55,0.81,0.05,7.46,0.01,0.02,4.35,17.20,0.25,0.11,64.86,0.09,0.00
633,0.33,0.74,0.16,0.03,0.06,0.00,0.40,0.64,0.00,3.80,0.00,0.00,1.56,6.30,0.13,0.15,83.59,0.14,0.00
634,0.52,0.78,0.42,0.05,0.17,0.09,0.59,0.93,0.41,1.44,0.01,0.04,19.32,28.35,0.29,0.11,43.10,0.00,0.00
635,0.03,0.52,0.16,0.04,0.04,0.02,0.27,0.42,0.02,0.58,0.01,0.06,6.22,21.79,0.40,0.04,69.16,0.00,0.00
636,0.21,0.43,0.18,0.03,0.15,0.02,0.60,0.84,0.21,3.49,0.00,0.03,17.99,27.22,0.74,0.05,47.45,0.00,0.00
637,3.56,0.80,0.29,0.11,0.28,0.19,1.48,1.20,0.25,2.67,0.01,0.00,21.87,13.11,0.44,2.43,46.57,0.21,0.00
638,0.83,1.31,0.99,0.51,0.52,1.11,3.40,1.55,1.73,4.03,0.04,0.06,24.01,19.98,0.67,0.69,37.31,0.05,0.00
639,0.32,2.04,2.26,0.49,1.60,1.45,10.97,1.85,16.69,12.90,0.01,0.00,5.69,6.71,0.48,0.85,33.26,1.33,0.00
640,1.63,3.03,5.47,2.42,2.43,6.62,19.23,1.75,8.10,9.36,0.01,0.15,9.48,13.28,0.51,0.68,12.02,0.24,0.00
641,5.00,1.15,0.25,0.24,0.35,0.00,1.22,2.55,0.00,4.74,0.03,0.13,0.30,0.59,0.02,0.00,80.34,0.83,0.00
642,2.89,0.75,0.26,0.06,0.23,0.01,1.02,2.00,0.00,9.87,0.02,0.05,0.43,1.70,0.05,0.00,77.26,0.04,0.00
643,0.12,0.39,0.05,0.01,0.01,0.00,0.09,0.23,0.00,0.35,0.02,0.21,1.35,4.06,0.09,0.02,92.44,0.21,0.00
644,0.16,0.53,0.12,0.07,0.05,0.08,0.23,0.31,0.03,0.75,0.02,0.15,1.16,4.36,0.13,0.03,91.10,0.09,0.00
645,25.23,3.47,3.30,3.57,1.03,3.97,2.40,1.07,4.70,0.88,0.05,0.34,13.71,3.73,0.04,0.06,18.56,0.87,0.00
646,22.02,1.07,1.24,1.16,0.31,1.02,2.39,1.58,2.43,1.93,0.04,0.11,26.28,5.16,0.14,0.14,26.68,0.23,0.00
647,63.45,0.11,0.02,0.01,0.01,0.00,0.00,0.07,0.01,0.00,0.05,0.01,15.20,0.46,0.04,0.00,16.64,0.33,0.00
648,33.01,0.67,1.10,0.59,0.63,0.43,2.40,1.55,1.34,4.47,0.82,0.00,15.51,4.41,0.06,0.05,25.86,1.84,0.00
649,13.27,0.87,0.46,0.16,0.14,0.07,0.84,1.31,1.05,0.91,0.04,0.00,23.74,4.83,0.15,0.59,51.01,0.04,0.00
650,9.36,1.33,0.94,0.28,0.20,0.28,1.38,1.73,0.59,1.08,0.02,0.02,41.36,13.60,0.06,0.09,26.52,0.16,0.00
651,44.09,0.94,1.47,0.23,0.68,0.14,5.02,2.19,0.50,8.41,2.15,0.01,2.18,0.34,0.05,0.00,24.19,0.90,0.00
652,18.54,0.71,0.40,0.29,0.12,0.03,0.77,0.90,0.99,1.34,0.03,0.07,14.17,3.91,0.18,0.44,55.74,0.08,0.00
653,55.72,0.40,0.21,0.13,0.04,0.07,0.32,0.35,0.16,0.50,0.05,0.06,6.74,1.24,0.07,0.21,29.52,0.11,0.00
654,1.22,2.14,2.89,0.89,1.07,1.52,6.71,2.21,3.81,4.99,0.03,0.09,21.07,26.90,1.08,0.26,21.79,0.13,0.00
