uniqid_huc10,coa_wheat_bushels_1969_huc10,coa_wheat_bushels_1974_huc10,coa_wheat_bushels_1978_huc10,coa_wheat_bushels_1982_huc10,coa_wheat_bushels_1987_huc10,coa_wheat_bushels_1992_huc10,coa_wheat_bushels_1997_huc10,coa_wheat_bushels_2002_huc10,coa_wheat_bushels_2007_huc10,coa_wheat_bushels_2012_huc10
7103,61.9,86.0,150.7,141.4,83.1,86.5,114.5,24.4,35.9,92.8
7104,627.2,1022.5,1352.7,1541.7,1282.6,1540.2,1887.2,1060.0,1410.3,1624.3
7105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7107,0.1,0.0,0.0,0.2,0.2,0.1,0.7,0.9,0.9,0.9
7108,7.2,16.5,11.3,22.1,20.5,8.1,9.2,9.9,9.9,9.0
7109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7110,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
7111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7113,14.7,32.5,42.6,163.2,95.3,89.1,71.4,103.1,67.9,266.0
7114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7115,0.3,0.4,0.4,0.3,0.2,0.0,0.0,0.0,0.2,0.1
7116,31.7,177.9,414.9,461.8,254.6,294.8,439.6,155.0,214.9,377.7
7117,80.3,157.7,91.7,108.4,70.3,68.7,80.7,191.0,330.0,554.5
7118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7119,0.5,0.0,0.0,3.7,0.9,0.1,0.0,0.0,0.0,0.0
7120,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.5,1.5,0.0
7121,171.4,162.8,161.6,191.2,202.6,188.7,359.4,165.6,326.2,200.9
