uniqid_huc10,malat_high1992_huc10,malat_high1997_huc10,malat_high2002_huc10,malat_high2007_huc10,malat_high2012_huc10,malat_low1992_huc10,malat_low1997_huc10,malat_low2002_huc10,malat_low2007_huc10,malat_low2012_huc10
1720,0.0148,0.2071,0.1334,0.0726,0.0027,0.0008,0.1187,0.0003,0.0003,0.0027
1721,0.0073,0.0061,0.0108,0.0019,0.0000,0.0071,0.0002,0.0000,0.0019,0.0000
1722,0.2338,1.1008,0.0102,2.5869,0.4200,0.0617,0.9085,0.0098,2.5869,0.0005
1723,0.0013,0.0036,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
1724,1.5738,2.0936,0.4301,0.1108,0.1009,0.0042,0.2081,0.0008,0.0000,0.1009
1725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1726,1.1010,4.5077,0.5479,0.0509,0.0132,0.2646,3.5344,0.1690,0.0003,0.0019
1727,0.0000,0.0004,0.0003,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1728,0.0000,0.0000,0.0005,0.0005,0.0000,0.0000,0.0000,0.0003,0.0005,0.0000
1729,3.7394,3.9682,3.3065,0.8652,0.0887,3.7394,3.9682,3.3065,0.8652,0.0887
1730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1731,0.0055,0.1778,0.0220,0.0218,0.0003,0.0052,0.0033,0.0000,0.0000,0.0003
1732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1733,0.4892,0.2564,0.4293,0.1785,0.0023,0.1439,0.1984,0.3915,0.1336,0.0023
1734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1735,0.2431,0.0625,0.0123,0.0011,0.0000,0.0061,0.0022,0.0000,0.0000,0.0000
1736,0.0059,0.0034,0.0015,0.0009,0.0005,0.0058,0.0001,0.0002,0.0000,0.0004
